when,stage,step,total,alpha,beta,loss,rmse,best_alpha,best_beta,best_loss,best_rmse,violation_rate
2025-10-17T19:40:39,stage1,40,156,1.5,0.9,1.14073,0.097499,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:40:45,stage1,41,156,1.5,1.1,1.078209,0.09479,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:40:52,stage1,42,156,1.5,1.3,1.1269,0.096906,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:40:59,stage1,43,156,1.5,1.5,0.744382,0.07876,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:06,stage1,44,156,1.5,1.7000000000000002,1.162373,0.09842,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:12,stage1,45,156,1.5,1.9000000000000001,1.176337,0.099009,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:19,stage1,46,156,1.5,2.1,1.036372,0.092932,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:25,stage1,47,156,1.5,2.3000000000000003,1.204143,0.100172,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:32,stage1,48,156,1.5,2.5,1.293948,0.103841,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:38,stage1,49,156,2.0,0.3,1.242601,0.10176,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:45,stage1,50,156,2.0,0.5,0.860691,0.08469,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:52,stage1,51,156,2.0,0.7,1.177911,0.099075,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:41:58,stage1,52,156,2.0,0.9,1.070737,0.094461,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:05,stage1,53,156,2.0,1.1,1.076984,0.094736,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:11,stage1,54,156,2.0,1.3,1.120241,0.09662,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:18,stage1,55,156,2.0,1.5,1.111212,0.096229,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:24,stage1,56,156,2.0,1.7000000000000002,1.161662,0.09839,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:31,stage1,57,156,2.0,1.9000000000000001,1.207848,0.100326,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:37,stage1,58,156,2.0,2.1,1.179101,0.099125,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
